,client_fk,client_name,onboarded_date,case_receiving_date,client_source,total_case,Within_TAT,tat_breach
46364,3829,Pooja Multislice CT Scan Centre,2024-09-26,2024-10-28,Deepak Yadav and Saravan Choudhary,1,1,0
46373,3788,Bharat Cancer Hospital And Research Institute,2024-08-29,2024-10-22,Deepak Yadav and Saravan Choudhary,15,0,0
46388,2054,Imperial Hospital,2021-08-07,2024-10-21,,1,1,0
46406,3289,Vardaan Diagnostics,2023-08-10,2024-10-19,Abhilash,2,2,0
46433,2604,Saakshi Diagnostics - Lonavala,2022-05-09,2024-10-20,,9,9,0
46477,3843,Unique Sonography & Orthocare - Nashik,2024-10-05,2024-10-14,Anamika Kumari and Nikhil Hugar,3,3,0
46481,705,Indus Diagnostic Center,2016-10-17,2024-11-09,,3,3,0
46492,2764,Gayatri Pathology & X-ray Centre,2022-09-01,2024-10-23,,1,1,0
46499,2604,Saakshi Diagnostics - Lonavala,2022-05-09,2024-11-05,,2,1,1
46531,3008,TGH Onco Life Cancer Centre,2023-03-31,2024-10-30,Rajendra Prasad,2,0,0
46545,1146,Alurwar Diagnostic Center,2019-05-25,2024-11-09,,1,0,1
46550,655,Sahasra Hospital,2018-06-23,2024-10-31,,1,0,1
46584,15,Madhubani Medical College & Hospital,2020-04-28,2024-11-04,,2,1,1
46585,1037,Jupiter Lifeline Hospital,2019-05-22,2024-10-12,,16,15,1
46589,3474,Hindusthan Hospital,2023-11-24,2024-10-17,Amith,1,1,0
46594,1869,Anant digital X-ray - Kolhapur,2021-04-24,2024-10-23,,2,1,1
46653,2897,Adarsh Nursing Home,2024-06-24,2024-11-05,Rajendra Prasad,2,2,0
46694,3269,Svastha Speciality Clinic & Diagnostic Centre,2023-08-02,2024-10-28,5C Admin (Vaishak),3,3,0
46762,2243,Vivekananda Hospital - Khalilabad,2021-10-01,2024-10-15,,2,2,0
46764,2908,Blue Bliss Hospital,2023-01-25,2024-10-14,,1,1,0
46766,1013,Annai Medical Centre,2018-10-05,2024-10-25,,1,0,1
46780,3701,Krishna Imaging And Diagnostics - Karimnagar,2024-06-26,2024-10-13,Mahesh Kumar G,1,1,0
46787,3626,Hastha CT Scan,2024-04-02,2024-11-02,Mahesh Kumar G,2,2,0
46788,3700,Impulse Polyclinic,2024-08-02,2024-10-19,Joel Elijah,1,1,0
46822,1890,Narmada Apna Hospital,2021-05-05,2024-10-29,,5,4,1
46824,3610,Radiant Diagnostic Centre Bhavnagar,2024-03-20,2024-10-18,Mahesh Salian,1,0,1
46855,3322,Insight Medical Diagnostic,2023-08-28,2024-10-18,Nikhil Hugar,4,4,0
46869,2419,Shri Krishna  X-ray,2021-12-14,2024-11-01,,1,1,0
46898,2908,Blue Bliss Hospital,2023-01-25,2024-10-25,,1,0,1
46934,3788,Bharat Cancer Hospital And Research Institute,2024-08-29,2024-10-23,Deepak Yadav and Saravan Choudhary,16,0,0
46954,751,Aditya Criticare Pvt. Ltd.,2019-02-16,2024-11-07,,1,1,0
46960,2604,Saakshi Diagnostics - Lonavala,2022-05-09,2024-10-16,,2,2,0
46984,2420,Meditech Diagnostic Centre,2021-12-15,2024-11-05,,1,1,0
46995,3255,Padiyath Medicity Hospital,2023-07-05,2024-11-09,Mahesh Salien,1,0,1
47037,3501,Numedisure Gaurav Hospital,2023-12-30,2024-11-06,Nikhil Hugar,1,1,0
47058,3644,EVR Advanced Diagnostics,2024-06-22,2024-10-16,Mahesh Kumar G,3,2,1
47061,1104,Rainbow Children's Medicare Pvt. Ltd.,2018-04-09,2024-11-07,,56,47,9
47101,2477,Bioscan Diagnostics,2022-01-15,2024-10-18,,4,4,0
47188,3517,Sunshine Diagnostics Diagnostics,2024-01-08,2024-11-09,Mahesh Salian,1,1,0
47207,3548,Lisie Hospital,2024-01-30,2024-10-29,Vaishak Shivadasan,5,0,5
47257,950,Bharat Pathology & Digital  X-ray Center,2019-12-24,2024-11-01,,1,0,1
47277,2477,Bioscan Diagnostics,2022-01-15,2024-10-21,,2,2,0
47319,3609,Care Diagnostic Centre,2024-03-20,2024-11-02,Pavan P Chouhan,2,2,0
47333,2178,Arogya Hospital - Delhi,2024-06-21,2024-11-10,Akshat Misra and Nikhil Hugar,2,1,1
47337,2402,Abi Scans,2021-12-08,2024-11-06,,1,1,0
47408,1016,Sindhura Hospitals,2018-11-06,2024-10-31,,1,1,0
47419,778,Pen CT & MRI Scan Center,2019-02-02,2024-10-21,,3,2,1
47429,3426,Dr. Das Multispeciality Hospital,2023-09-25,2024-11-03,Mahesh,3,2,1
47439,520,Advance Diagnostic Center - MP,2020-03-04,2024-10-29,,1,0,1
47448,3795,Gunjan Diagnostic,2024-09-03,2024-10-30,Nikhil Hugar,1,1,0
47485,618,Lotus Diagnostic - AS,2020-02-10,2024-10-30,,2,2,0
47489,2733,Sri Srinivasa  Multi Speciality  Hospital,2022-07-21,2024-10-21,,2,2,0
47491,3722,Agrawal Diagnostic Centre LLP,2024-10-03,2024-10-28,Anamika Kumari and Nikhil Hugar,6,4,2
47496,3684,Marian Medical Centre - Puliyannoor,2024-06-05,2024-10-22,Abhilash Bharathan and Balaganesh A,5,5,0
47502,3521,Neuberg Bose Laboratories Pvt Ltd,2024-01-10,2024-10-21,Sathish Jalari,1,1,0
47513,2843,Manav Seva Akshar Advance Imaging Centre,2024-09-15,2024-11-06,Anamika Kumari and Nikhil Hugar,10,7,3
47545,2797,Aditya Diagnostics & Hospitals - U3,2022-10-07,2024-11-07,,2,2,0
47554,1223,Pinarc Health Imaging CT Scan Centre,2024-05-22,2024-10-12,Nikhil Hugar,2,2,0
47590,2064,Fortune Medcare Hospital,2021-08-11,2024-11-10,,1,1,0
47593,1140,Athaayu MultiSpeciality Hospital,2019-04-26,2024-10-19,,1,1,0
47630,2638,Life Care Health Diagnostic - Karwar,2022-05-25,2024-10-19,,4,4,0
47643,362,Pratham Hospital,2019-05-03,2024-11-06,Amith,1,0,1
47648,1016,Sindhura Hospitals,2018-11-06,2024-11-09,,2,2,0
47690,442,Malnad Hitech Diagnostic Centre,2024-08-19,2024-10-18,Mahesh Salian,5,4,1
47691,3869,Om Suvam Hospital,2024-10-25,2024-10-24,Abhisankar Biswal and Mukta Nandi,1,1,0
47715,3314,Advanced diagnostic Centre Unit - 2 ,2023-08-21,2024-10-16,Mahesh,1,0,1
47759,3784,Guru Hospital,2024-08-23,2024-11-06,Apoorv L Salehittal,4,0,4
47769,3065,Santhosh Nursing Home Multi Speciality Hospital,2023-04-29,2024-10-29,5C Admin (Sathish),1,0,1
47780,3293,San Camilo,2021-10-20,2024-10-25,Vaishak Shivadasan,33,27,6
47795,2604,Saakshi Diagnostics - Lonavala,2022-05-09,2024-10-12,,1,0,1
47816,778,Pen CT & MRI Scan Center,2019-02-02,2024-10-20,,2,2,0
47861,3849,Vinayaka Hospital - Wayanad,2024-10-09,2024-10-19,Jaya Mohan and Balaganesh A,2,2,0
47917,2207,Raj Scans - Dindigul,2021-09-18,2024-10-30,,1,1,0
47943,1554,Satyam Diagnostic Center - Dhanapur,2020-11-11,2024-10-30,,1,1,0
48030,2638,Life Care Health Diagnostic - Karwar,2022-05-25,2024-11-03,,4,4,0
48038,2064,Fortune Medcare Hospital,2021-08-11,2024-11-09,,1,1,0
48047,2856,Sattva Diagnostics,2022-12-07,2024-10-16,,4,4,0
48058,2542,Shantived Institute Of Medical Science,2022-03-12,2024-11-09,,7,2,5
48081,3637,Maruti Diagnostics,2024-04-12,2024-10-18,Joel Elijah,3,3,0
48095,3622,Solace A Comprehensive Health Zone,2024-03-28,2024-11-04,Mahesh Salian,1,0,1
48158,212,Hope Scan Centre - UP,2020-03-18,2024-11-06,,21,18,3
48173,2577,Kamareddy MRI & Diagnostic Centre,2022-04-18,2024-10-18,,2,2,0
48208,2406,Patna Diagnostic Center,2021-12-09,2024-10-31,Joel Elijah,6,6,0
48222,3474,Hindusthan Hospital,2023-11-24,2024-10-25,Amith,5,4,1
48232,2821,Venture Diagnostics - Coimbatore,2024-05-15,2024-11-07,Abhilash Bharathan and Balaganesh A,1,0,1
48233,3601,Narayani Hospital A Unit of SCS PRO.CO.,2024-03-12,2024-10-27,Mahesh Salian,1,1,0
48244,2029,Mudalagi CT Scan Centre,2024-07-01,2024-11-03,Rajendra Prasad,3,2,1
48245,3684,Marian Medical Centre - Puliyannoor,2024-06-05,2024-11-04,Abhilash Bharathan and Balaganesh A,4,4,0
48295,3784,Guru Hospital,2024-08-23,2024-10-18,Apoorv L Salehittal,4,4,0
48375,950,Bharat Pathology & Digital  X-ray Center,2019-12-24,2024-11-02,,1,1,0
48437,365,Sevasadan Niramaya Hospital Private limited,2019-11-15,2024-10-17,,1,1,0
48439,3015,Megsan Diagnostics - KPHB,2023-04-06,2024-11-02,5C Admin (Vaishak),15,11,4
48451,1223,Pinarc Health Imaging CT Scan Centre,2024-05-22,2024-11-06,Nikhil Hugar,3,1,2
48481,3733,A R Diagnostics,2024-08-22,2024-10-28,Joel Elijah,4,4,0
48497,1027,The Pariseba X-ray,2020-01-05,2024-10-21,,4,4,0
48527,3210,B & B Memorial Hospital,2023-05-31,2024-10-17,5C Admin (Vaishak),1,1,0
48623,3601,Narayani Hospital A Unit of SCS PRO.CO.,2024-03-12,2024-11-09,Mahesh Salian,4,4,0
48629,3552,St.Isabel's Hospital,2024-02-01,2024-11-01,Yesu Samuels ,3,3,0
48641,3426,Dr. Das Multispeciality Hospital,2023-09-25,2024-10-28,Mahesh,1,1,0
48642,2835,Kaya Health Care,2022-11-09,2024-10-27,,1,1,0
48695,2370,A to Z Multispeciality Hospital,2021-11-26,2024-10-13,,2,2,0
48718,1037,Jupiter Lifeline Hospital,2019-05-22,2024-11-10,,11,5,6
48770,3804,Sono Lab  & Imaging Centre Udaipur,2024-09-06,2024-10-13,Mahesh Salian,2,1,1
48800,3586,Arogyadhama Multi Specialty Day Care & Diagnosis Services,2024-02-23,2024-10-30,Anthony Chethan,1,1,0
48812,1642,HBS Hospital,2021-01-13,2024-10-31,,2,2,0
48817,1851,Life Line Diagnostics Centre,2021-04-19,2024-10-31,,1,1,0
48826,1146,Alurwar Diagnostic Center,2019-05-25,2024-10-13,,2,1,1
48890,3444,Dharamsheela Devi Multispeciality Hospital,2023-10-19,2024-10-27,Mahesh  Salian,1,0,1
48915,520,Advance Diagnostic Center - MP,2020-03-04,2024-10-21,,2,2,0
48940,3322,Insight Medical Diagnostic,2023-08-28,2024-10-23,Nikhil Hugar,2,1,1
48997,1872,Kamalabai CT Scan,2021-04-26,2024-10-15,,2,2,0
49003,520,Advance Diagnostic Center - MP,2020-03-04,2024-11-06,,7,5,2
49004,548,Omega Diagnostic Centre,2019-05-23,2024-10-31,,1,1,0
49014,2370,A to Z Multispeciality Hospital,2021-11-26,2024-10-26,,1,1,0
49100,3483,Skyline Medicos and Diagnostics Center ,2023-12-06,2024-10-20,,1,1,0
49127,3570,Medicover Multi Speciality Hospitals Pune ,2024-04-22,2024-11-09,Nikhil Hugar,1,0,1
49146,2178,Arogya Hospital - Delhi,2024-06-21,2024-10-14,Akshat Misra and Nikhil Hugar,2,2,0
49150,3687,Bhole Vighnaharta Multi Speciality Hospital Parola,2024-06-07,2024-11-02,Nikhil Hugar,2,2,0
49155,1892,Goalpara Sonoscan Centre,2021-05-05,2024-10-23,,2,1,1
49170,2145,Anjali Pathology,2021-08-28,2024-11-08,,3,3,0
49185,1090,Mhaskar Hospital,2019-05-23,2024-10-17,,5,5,0
49195,2897,Adarsh Nursing Home,2024-06-24,2024-11-08,Rajendra Prasad,2,2,0
49201,2737,Safe Diagnostic,2022-07-25,2024-10-12,,4,4,0
49265,2577,Kamareddy MRI & Diagnostic Centre,2022-04-18,2024-11-04,,7,3,4
49267,3008,TGH Onco Life Cancer Centre,2023-03-31,2024-10-29,Rajendra Prasad,7,0,0
49326,3447,Bansal Hospital Sagar,2023-10-20,2024-10-20,Mahesh Salian,2,2,0
49393,1676,Nueclear Healthcare Ltd,2021-02-03,2024-10-18,,2,2,0
49440,3139,National Diagnostic Pathology And Digital Xray,2023-05-24,2024-10-24,Rajendra Prasad,1,1,0
49505,866,Gadhinglaj Scan And Diagnostic Centre,2019-03-02,2024-11-01,,2,2,0
49514,3687,Bhole Vighnaharta Multi Speciality Hospital Parola,2024-06-07,2024-11-09,Nikhil Hugar,3,3,0
49596,3131,Eskag Sanjeevani Pvt. Ltd. (Super Specialty Hospital - Balurghat),2023-05-22,2024-10-23,5C Admin (Amith),8,1,7
49616,1090,Mhaskar Hospital,2019-05-23,2024-10-16,,1,1,0
49642,1892,Goalpara Sonoscan Centre,2021-05-05,2024-10-22,,3,0,3
49661,3439,Nigerian Lebanese International Hospital,2023-10-13,2024-11-05,Mahesh Salian,1,1,0
49679,1652,Nueclear Health Care Limited,2021-01-20,2024-10-31,,1,1,0
49714,3672,Rajanna CT Scan Center - Sircilla,2024-07-25,2024-10-24,Mahesh Salian,2,2,0
49738,520,Advance Diagnostic Center - MP,2020-03-04,2024-11-10,,1,1,0
49768,520,Advance Diagnostic Center - MP,2020-03-04,2024-10-25,,1,1,0
49770,939,Mandya Diagnostic Centre Private Ltd.Mandya,2019-06-26,2024-11-03,,1,1,0
49781,2587,CK Medical Center Hospital,2022-04-28,2024-10-31,,1,1,0
49853,2390,Ujjala Cygnus Bright Star Hospital,2021-12-02,2024-11-08,,7,5,2
49868,1551,Public Labs,2020-11-10,2024-10-29,,1,1,0
49911,1041,Sreema X-ray,2018-09-30,2024-10-28,,2,2,0
49923,3875,Ruban Memorial Hospital - Patna,2024-11-04,2024-11-08,,60,59,1
49949,3005,Cosmos Health Care,2023-03-30,2024-11-01,5C Admin (Sathish),1,1,0
49953,3437,Apollo clinic - Agra,2023-10-07,2024-10-13,Mahesh,1,0,1
49966,1642,HBS Hospital,2021-01-13,2024-10-14,,3,0,3
49972,1851,Life Line Diagnostics Centre,2021-04-19,2024-10-14,,1,1,0
50003,2856,Sattva Diagnostics,2022-12-07,2024-10-26,,3,3,0
50020,2587,CK Medical Center Hospital,2022-04-28,2024-11-09,,2,1,1
50035,3217,CRH ENT MRI And Diagnostics,2023-06-03,2024-10-25,5C Admin (Vaishak),1,1,0
50041,3533,Maitreya Hospital,2024-01-20,2024-11-05,Mahesh Salian,1,0,1
50053,3844,Bhardwaj Hospital - Himachal Pradesh,2024-10-05,2024-10-25,Anil Kumar and Saravan Choudhary,2,2,0
50078,2831,RS Gaur Global Multispeciality Hospital Pvt.Ltd.,2022-11-07,2024-10-26,,1,0,1
50113,949,Pulse Diagnostics Pvt. Ltd. - Behala,2018-03-06,2024-10-18,,2,2,0
50153,3590,Dr. Yogesh Dongre’s MegaScan Imaging Centre,2024-02-29,2024-10-15,Amith,1,1,0
50163,2006,Sree Jayam Ortho & Multispeciality Hospital,2021-07-20,2024-10-27,Abhilash Bharathan,1,0,1
50196,2895,Sanjiwani Chikitsa Kendra,2023-01-09,2024-10-21,,2,2,0
50218,3653,The Bio Clinical Laboratory,2024-04-25,2024-10-21,Anthony Chethan,4,4,0
50242,255,JJ Digital X-ray Lab & ECG Services - Thambaram,2019-05-04,2024-10-17,,1,1,0
50273,726,Mariahu Pathology & Digital X-ray Center,2019-08-15,2024-10-21,,1,1,0
50291,1803,Global Diagnostics,2024-05-25,2024-10-26,Joel Elijah,2,2,0
50304,1013,Annai Medical Centre,2018-10-05,2024-11-09,,1,1,0
50308,2477,Bioscan Diagnostics,2022-01-15,2024-10-25,,2,2,0
50434,1652,Nueclear Health Care Limited,2021-01-20,2024-11-02,,1,0,1
50449,3813,New Marvel Healthcare & Diagnostics,2024-09-13,2024-10-15,Rajendra Prasad and Nithin Bharadhwaj,3,3,0
50455,2477,Bioscan Diagnostics,2022-01-15,2024-10-14,,2,2,0
50495,3672,Rajanna CT Scan Center - Sircilla,2024-07-25,2024-11-02,Mahesh Salian,5,4,1
50536,866,Gadhinglaj Scan And Diagnostic Centre,2019-03-02,2024-11-09,,1,1,0
50557,3293,San Camilo,2021-10-20,2024-10-19,Vaishak Shivadasan,21,15,6
50598,3131,Eskag Sanjeevani Pvt. Ltd. (Super Specialty Hospital - Balurghat),2023-05-22,2024-10-30,5C Admin (Amith),7,0,7
50643,3332,Saikrupa Clinic,2023-09-05,2024-11-02,Abhilash ,1,1,0
50661,3730,Yashashvi Hospital,2024-08-01,2024-11-06,Sunil,1,1,0
50720,2577,Kamareddy MRI & Diagnostic Centre,2022-04-18,2024-10-23,,1,1,0
50728,12,Mahadev Multispeciality Hospital,2018-10-29,2024-10-13,,3,0,3
50729,2265,Vardhman Diagnostics Pvt. Ltd.,2021-10-12,2024-11-07,,15,11,4
50741,1851,Life Line Diagnostics Centre,2021-04-19,2024-10-16,,2,2,0
50766,2265,Vardhman Diagnostics Pvt. Ltd.,2021-10-12,2024-10-22,,5,3,2
50773,1041,Sreema X-ray,2018-09-30,2024-11-03,,1,1,0
50854,2680,Get Well Hospital,2022-06-18,2024-11-02,,1,1,0
50869,3829,Pooja Multislice CT Scan Centre,2024-09-26,2024-11-02,Deepak Yadav and Saravan Choudhary,1,1,0
50879,3637,Maruti Diagnostics,2024-04-12,2024-10-24,Joel Elijah,1,1,0
50891,3447,Bansal Hospital Sagar,2023-10-20,2024-10-12,Mahesh Salian,1,1,0
50922,705,Indus Diagnostic Center,2016-10-17,2024-11-10,,1,1,0
50960,254,Siddaganga Diagnostic Center,2016-10-18,2024-10-22,,1,1,0
50987,2067,Prism Johnson Limited Medical Centre  (Cement Division),2021-08-13,2024-10-17,,1,1,0
51062,3548,Lisie Hospital,2024-01-30,2024-10-15,Vaishak Shivadasan,5,0,5
51072,3614,Arekere Life Care Diagnostics & Multispeciality Clinic,2024-03-25,2024-10-28,Podugu Bhanuprakash,2,2,0
51082,1016,Sindhura Hospitals,2018-11-06,2024-10-21,,1,1,0
51132,1642,HBS Hospital,2021-01-13,2024-11-02,,1,0,1
51176,1723,Vedanta Medical Research Foundation (Balco Medical Centre),2024-07-24,2024-10-23,Mahesh Salian,14,8,6
51205,1426,Neha Prakash Hospital,2020-08-03,2024-10-16,,2,2,0
51265,12,Mahadev Multispeciality Hospital,2018-10-29,2024-10-12,,2,2,0
51279,1554,Satyam Diagnostic Center - Dhanapur,2020-11-11,2024-11-03,,1,1,0
51310,726,Mariahu Pathology & Digital X-ray Center,2019-08-15,2024-10-20,,5,5,0
51311,3536,Shrinivas (G) Educational & Research Institute of  Medical Sciences,2024-05-17,2024-10-27,Mahesh Salian,1,1,0
51329,3116,Pushpa Memorial Diagnostic Center,2023-05-18,2024-11-05,Rajendra Prasad,1,0,1
51360,1890,Narmada Apna Hospital,2021-05-05,2024-10-19,,2,2,0
51367,2844,Prakhar High Tech CT Scan,2022-11-21,2024-11-10,,1,0,1
51406,2730,GNRC Hospital - Sixmile,2022-07-20,2024-10-17,,29,28,1
51415,3586,Arogyadhama Multi Specialty Day Care & Diagnosis Services,2024-02-23,2024-10-23,Anthony Chethan,2,2,0
51427,3849,Vinayaka Hospital - Wayanad,2024-10-09,2024-10-15,Jaya Mohan and Balaganesh A,1,1,0
51447,3747,BELS Hospital,2024-08-03,2024-11-09,Mahesh Salian,1,0,1
51486,2265,Vardhman Diagnostics Pvt. Ltd.,2021-10-12,2024-10-26,,13,9,4
51512,2420,Meditech Diagnostic Centre,2021-12-15,2024-10-25,,1,1,0
51553,365,Sevasadan Niramaya Hospital Private limited,2019-11-15,2024-10-13,,1,1,0
51566,2843,Manav Seva Akshar Advance Imaging Centre,2024-09-15,2024-10-25,Anamika Kumari and Nikhil Hugar,1,1,0
51581,3008,TGH Onco Life Cancer Centre,2023-03-31,2024-10-23,Rajendra Prasad,6,0,0
51595,2733,Sri Srinivasa  Multi Speciality  Hospital,2022-07-21,2024-10-16,,1,1,0
51610,1944,Pandian Multispeciality Hospital,2021-06-10,2024-10-16,,2,1,1
51645,581,RR Diagnostics,2017-08-28,2024-11-08,,3,3,0
51671,581,RR Diagnostics,2017-08-28,2024-10-23,,1,1,0
51725,926,Anbu Medical Care Hospital,2024-05-29,2024-10-31,Abhilash Bharathan and Balaganesh A,1,0,1
51749,1223,Pinarc Health Imaging CT Scan Centre,2024-05-22,2024-10-23,Nikhil Hugar,2,0,2
51758,655,Sahasra Hospital,2018-06-23,2024-11-01,,4,3,1
51798,2341,Mara scans & Labs,2021-11-15,2024-10-21,,1,1,0
51816,3015,Megsan Diagnostics - KPHB,2023-04-06,2024-10-24,5C Admin (Vaishak),1,0,1
51849,926,Anbu Medical Care Hospital,2024-05-29,2024-11-01,Abhilash Bharathan and Balaganesh A,3,3,0
51875,2587,CK Medical Center Hospital,2022-04-28,2024-10-21,,1,1,0
51955,3829,Pooja Multislice CT Scan Centre,2024-09-26,2024-11-10,Deepak Yadav and Saravan Choudhary,1,0,1
51960,2468,Rohini Diagnostics Scan Centre,2022-01-08,2024-10-12,,1,1,0
51962,2856,Sattva Diagnostics,2022-12-07,2024-11-01,,1,1,0
51963,3268,Meridian Hospital,2023-08-01,2024-10-24,5C Admin (Sathish),2,1,1
51991,209,Dr. Vhanmane Wellcare,2019-08-26,2024-11-10,,1,0,1
52025,985,Dr. K. Shantha Breast Cancer Foundation,2019-08-24,2024-11-08,,12,10,2
52043,3269,Svastha Speciality Clinic & Diagnostic Centre,2023-08-02,2024-11-02,5C Admin (Vaishak),2,1,1
52069,2390,Ujjala Cygnus Bright Star Hospital,2021-12-02,2024-10-26,,1,1,0
52073,1062,Prasiddh YS Diagnostics Private Limited,2018-11-16,2024-10-16,,2,2,0
52128,3791,Nidan Prime Scan Centre - A Venture Of Sgla Imaging llp,2024-08-30,2024-10-13,Anamika Kumari and Nikhil Hugar,2,2,0
52208,2853,AV Multi -Speciality Hospital,2022-12-05,2024-11-08,,1,0,1
52215,1023,Mother's Hospital,2019-08-09,2024-10-22,,1,1,0
52237,380,Pulse Diagnostics - Berhampore,2018-05-11,2024-10-21,,1,1,0
52245,380,Pulse Diagnostics - Berhampore,2018-05-11,2024-11-06,,2,2,0
52315,581,RR Diagnostics,2017-08-28,2024-11-04,,3,3,0
52380,1886,Dialab Diagnostics And Imaging Centre,2021-05-04,2024-10-23,,1,1,0
52382,1621,Sri Mamata Diagnostic centre,2021-01-01,2024-11-05,,2,1,1
52416,1539,HTS Digital X-ray - U2,2020-10-29,2024-10-17,,1,1,0
52445,3673,Tambo Salud,2024-05-09,2024-10-14,Vaishak Shivadasan,3,2,1
52448,926,Anbu Medical Care Hospital,2024-05-29,2024-10-13,Abhilash Bharathan and Balaganesh A,1,1,0
52449,2764,Gayatri Pathology & X-ray Centre,2022-09-01,2024-10-24,,1,1,0
52459,2265,Vardhman Diagnostics Pvt. Ltd.,2021-10-12,2024-10-30,,4,3,1
52482,1146,Alurwar Diagnostic Center,2019-05-25,2024-10-24,,2,1,1
52487,618,Lotus Diagnostic - AS,2020-02-10,2024-11-07,,2,2,0
52491,3483,Skyline Medicos and Diagnostics Center ,2023-12-06,2024-11-02,,2,2,0
52508,3322,Insight Medical Diagnostic,2023-08-28,2024-10-13,Nikhil Hugar,12,12,0
52562,3813,New Marvel Healthcare & Diagnostics,2024-09-13,2024-11-07,Rajendra Prasad and Nithin Bharadhwaj,1,1,0
52607,697,Saral Diagnostic Center - Bhopal,2019-11-12,2024-11-10,,4,2,2
52669,3269,Svastha Speciality Clinic & Diagnostic Centre,2023-08-02,2024-10-20,5C Admin (Vaishak),4,4,0
52672,2764,Gayatri Pathology & X-ray Centre,2022-09-01,2024-10-25,,1,1,0
52690,2420,Meditech Diagnostic Centre,2021-12-15,2024-10-19,,5,5,0
52719,751,Aditya Criticare Pvt. Ltd.,2019-02-16,2024-10-17,,1,1,0
52731,1551,Public Labs,2020-11-10,2024-11-06,,2,2,0
52738,2468,Rohini Diagnostics Scan Centre,2022-01-08,2024-10-16,,1,1,0
52815,3483,Skyline Medicos and Diagnostics Center ,2023-12-06,2024-11-09,,2,2,0
52882,3626,Hastha CT Scan,2024-04-02,2024-10-20,Mahesh Kumar G,2,2,0
52892,3634,Padma Devaiah Multi-Speciality Hospital,2024-04-09,2024-10-18,Mahesh Salian,2,2,0
52921,3755,Aastha Hospital,2024-08-06,2024-10-20,Anil Kumar and Saravan Choudhary,1,1,0
52923,3829,Pooja Multislice CT Scan Centre,2024-09-26,2024-10-20,Deepak Yadav and Saravan Choudhary,5,5,0
52998,655,Sahasra Hospital,2018-06-23,2024-11-02,,4,3,1
53010,1016,Sindhura Hospitals,2018-11-06,2024-10-15,,2,2,0
53079,1872,Kamalabai CT Scan,2021-04-26,2024-10-26,,1,1,0
53115,3533,Maitreya Hospital,2024-01-20,2024-10-19,Mahesh Salian,3,3,0
53125,3804,Sono Lab  & Imaging Centre Udaipur,2024-09-06,2024-10-23,Mahesh Salian,4,3,1
53131,2054,Imperial Hospital,2021-08-07,2024-11-06,,1,1,0
53151,2993,Sri Vijayendhar Reddy Hospital,2023-03-23,2024-10-17,,3,2,1
53184,3704,Neuberg Supratech Inspire Diagnostics LLP - Raipur,2024-07-09,2024-11-04,Mahesh Salian,3,3,0
53187,2265,Vardhman Diagnostics Pvt. Ltd.,2021-10-12,2024-11-03,,5,4,1
53188,1697,Platinum Diagnostic Centre,2021-02-23,2024-10-12,,2,2,0
53208,3444,Dharamsheela Devi Multispeciality Hospital,2023-10-19,2024-10-17,Mahesh  Salian,2,0,2
53213,2638,Life Care Health Diagnostic - Karwar,2022-05-25,2024-10-13,,1,1,0
53252,3251,Truecheck Diagnostics LLP,2023-06-30,2024-10-20,5C Admin (Dhiren Lohar),1,1,0
53382,3722,Agrawal Diagnostic Centre LLP,2024-10-03,2024-10-24,Anamika Kumari and Nikhil Hugar,4,3,1
53392,2390,Ujjala Cygnus Bright Star Hospital,2021-12-02,2024-11-09,,10,6,4
53408,2468,Rohini Diagnostics Scan Centre,2022-01-08,2024-11-05,,1,1,0
53415,3609,Care Diagnostic Centre,2024-03-20,2024-10-25,Pavan P Chouhan,1,1,0
53416,2468,Rohini Diagnostics Scan Centre,2022-01-08,2024-10-20,,1,1,0
53445,1723,Vedanta Medical Research Foundation (Balco Medical Centre),2024-07-24,2024-10-18,Mahesh Salian,5,4,1
53521,1890,Narmada Apna Hospital,2021-05-05,2024-11-06,,2,2,0
53522,3668,SD Suvidha Diagnostics and Pathology Pvt Ltd - Lucknow,2024-05-06,2024-11-02,Anthony Chethan,3,3,0
53577,2856,Sattva Diagnostics,2022-12-07,2024-10-21,,2,2,0
53578,3784,Guru Hospital,2024-08-23,2024-10-15,Apoorv L Salehittal,5,4,1
53594,3529,Meditrina Hospitals - Kollam,2024-09-18,2024-10-21,Abhilash Bharathan and Balaganesh A,4,2,2
53604,3684,Marian Medical Centre - Puliyannoor,2024-06-05,2024-10-24,Abhilash Bharathan and Balaganesh A,1,1,0
53649,757,Utkarsh Scan Centre,2019-02-23,2024-10-19,Amith,6,2,4
53657,15,Madhubani Medical College & Hospital,2020-04-28,2024-10-29,,1,1,0
53680,1890,Narmada Apna Hospital,2021-05-05,2024-10-27,,7,2,5
53755,3810,Pratham MRI And CT Scan Centre,2024-09-12,2024-10-16,Anamika Kumari and Nikhil Hugar,7,3,4
53783,2639,Affiniti Scan Center,2022-05-27,2024-10-28,,2,1,1
53806,2471,Satyadev Multispeciality Hospital,2022-01-10,2024-11-02,,1,1,0
53923,3548,Lisie Hospital,2024-01-30,2024-10-21,Vaishak Shivadasan,4,0,4
53934,3601,Narayani Hospital A Unit of SCS PRO.CO.,2024-03-12,2024-10-26,Mahesh Salian,1,1,0
53954,1013,Annai Medical Centre,2018-10-05,2024-10-23,,1,1,0
53955,1094,Sarvoday Hospital,2019-02-09,2024-11-06,,2,0,2
53974,3784,Guru Hospital,2024-08-23,2024-11-09,Apoorv L Salehittal,5,2,3
